instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_selection_strategy,param_crossover_strategy,param_mutation_strategy,param_initialization_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_strategy,param_local_search_interval,param_neighborhood_size,param_use_sa_acceptance,param_sa_initial_temp,param_sa_cooling_rate,param_w,param_c1,param_c2,param_restart_strategy,param_restart_threshold,param_sa_final_temp,param_f_min,param_f_max,param_A0,param_r0,param_gamma,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_6.RCP,1,69.52770083102493,0.384274959564209,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,38,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,15.57269483135722
J30_6.RCP,0,62.94875346260388,0.45019102096557617,PSO_none_none,38,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,4.6368136295614395
J30_6.RCP,1,60.15927977839334,0.47454404830932617,PSO_none_none,38,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,0.0
J30_6.RCP,0,63.89612188365651,0.3780632019042969,BA_none,38,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,6.211580522620031
J30_6.RCP,1,66.00138504155125,0.43575406074523926,BA_none,38,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,9.711062507194676
J30_6.RCP,0,60.159279778393355,0.4044179916381836,HS_fixed_random,38,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,2.3622049279097153e-14
J30_6.RCP,1,60.68559556786704,0.3885519504547119,HS_fixed_random,38,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.874870496143688
J30_7.RCP,0,53.92527777777778,0.37708187103271484,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,60,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,4.052076689303242
J30_7.RCP,1,55.72527777777779,0.3779129981994629,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,60,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,7.525285280134636
J30_7.RCP,0,53.59194444444445,0.4543781280517578,PSO_none_none,60,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,3.4088899132233674
J30_7.RCP,1,54.05861111111111,0.4495422840118408,PSO_none_none,60,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,4.309351399735195
J30_7.RCP,0,52.69194444444445,0.38563990592956543,BA_none,60,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,1.6722856178076846
J30_7.RCP,1,52.69194444444445,0.3770029544830322,BA_none,60,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,1.6722856178076846
J30_7.RCP,0,51.82527777777779,0.3887629508972168,HS_fixed_random,60,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_7.RCP,1,52.258611111111115,0.40122103691101074,HS_fixed_random,60,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.8361428089038286
J30_8.RCP,0,77.20256318974724,0.3744471073150635,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,53,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,28.681627760701602
J30_8.RCP,1,71.7686009255963,0.3659660816192627,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,53,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,19.62427162574321
J30_8.RCP,0,59.995016019935925,0.4577510356903076,PSO_none_none,53,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,0.0
J30_8.RCP,1,64.33463866144535,0.45430779457092285,PSO_none_none,53,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,7.23330524666816
J30_8.RCP,0,63.69312922748309,0.385051965713501,BA_none,53,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,6.16403403629113
J30_8.RCP,1,61.65539337842649,0.3897097110748291,BA_none,53,1000,1,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,2.767525485681731
J30_8.RCP,0,63.46671413314347,0.3930380344390869,HS_fixed_random,53,1000,0,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,5.786644197334531
J30_8.RCP,1,67.7308650765397,0.4030921459197998,HS_fixed_random,53,1000,1,,,,60.0,,,,random,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,12.894152831017175
J30_9.RCP,0,108.3452380952381,0.39879894256591797,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,0,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,28.599689133813772
J30_9.RCP,1,101.25,0.4081411361694336,GA_roulette_single_point_random_random_none_noNeighborhood_noElitism_noSA,42,1000,1,50.0,0.9,0.1,60.0,roulette,single_point,random,random,3.0,True,False,0.5,0.1,0.35,none,5.0,0.0,False,10.0,0.95,,,,,,,,,,,,,,,,,,,,,20.178041543026705
J30_9.RCP,0,92.29761904761902,0.45064687728881836,PSO_none_none,42,1000,0,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,9.552070086194686
J30_9.RCP,1,85.29761904761905,0.4517817497253418,PSO_none_none,42,1000,1,50.0,,,60.0,,,,,,,,,,,none,,,,80.0,0.9,0.729,1.49445,1.49445,none,30.0,0.01,,,,,,,,,,,,,,,1.2434647449484284
J30_9.RCP,0,86.25,0.40770483016967773,BA_none,42,1000,0,50.0,,,60.0,,,,,,,,0.9,,,none,10.0,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,,,,,,,,,,2.3738872403560833
