instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_crossover_rate,param_mutation_rate,param_time_limit,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_max_iterations
J30_18.RCP,1,70.65400000000001,0.13314199447631836,ga,50,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_18.RCP,0,81.054,0.10893106460571289,sa,50,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_18.RCP,1,77.45400000000001,0.10936713218688965,sa,50,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_18.RCP,0,75.65400000000001,0.10158014297485352,ils,50,1000,0,,,,60.0,,,,5.0,100.0
J30_18.RCP,1,75.61399999999999,0.10086894035339355,ils,50,1000,1,,,,60.0,,,,5.0,100.0
J30_19.RCP,0,99.0565167243368,0.13403892517089844,ga,51,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_19.RCP,1,109.4878892733564,0.1330711841583252,ga,51,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_19.RCP,0,101.21337946943484,0.10910367965698242,sa,51,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_19.RCP,1,103.52710495963092,0.10870599746704102,sa,51,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_19.RCP,0,97.40945790080738,0.10016894340515137,ils,51,1000,0,,,,60.0,,,,5.0,100.0
J30_19.RCP,1,79.52710495963092,0.10003185272216797,ils,51,1000,1,,,,60.0,,,,5.0,100.0
J30_20.RCP,0,100.4104699583581,0.1338200569152832,ga,41,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_20.RCP,1,91.62998215348007,0.13272690773010254,ga,41,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_20.RCP,0,104.02022605591908,0.10963988304138184,sa,41,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_20.RCP,1,100.45925044616298,0.10810375213623047,sa,41,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_20.RCP,0,90.36168947055324,0.10126495361328125,ils,41,1000,0,,,,60.0,,,,5.0,100.0
J30_20.RCP,1,94.2153480071386,0.10092496871948242,ils,41,1000,1,,,,60.0,,,,5.0,100.0
J30_21.RCP,0,66.12461419753087,0.13362908363342285,ga,72,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_21.RCP,1,64.29128086419753,0.13315701484680176,ga,72,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_21.RCP,0,69.98572530864197,0.1093900203704834,sa,72,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_21.RCP,1,69.31905864197532,0.10895299911499023,sa,72,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_21.RCP,0,74.56905864197532,0.10164213180541992,ils,72,1000,0,,,,60.0,,,,5.0,100.0
J30_21.RCP,1,68.87461419753087,0.10108399391174316,ils,72,1000,1,,,,60.0,,,,5.0,100.0
J30_22.RCP,0,96.07363576594346,0.13247895240783691,ga,39,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_22.RCP,1,96.5351742274819,0.1324009895324707,ga,39,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_22.RCP,0,106.79158448389218,0.10857915878295898,sa,39,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_22.RCP,1,103.15055884286653,0.10839223861694336,sa,39,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_22.RCP,0,88.48389217619987,0.10043096542358398,ils,39,1000,0,,,,60.0,,,,5.0,100.0
J30_22.RCP,1,98.48389217619984,0.1002199649810791,ils,39,1000,1,,,,60.0,,,,5.0,100.0
J30_23.RCP,0,54.28254847645431,0.13354802131652832,ga,57,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_23.RCP,1,52.10710987996307,0.13277602195739746,ga,57,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_23.RCP,0,56.31763619575254,0.10958313941955566,sa,57,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_23.RCP,1,56.633425669436754,0.10895085334777832,sa,57,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_23.RCP,0,67.54570637119113,0.10179901123046875,ils,57,1000,0,,,,60.0,,,,5.0,100.0
J30_23.RCP,1,54.59833795013851,0.10079789161682129,ils,57,1000,1,,,,60.0,,,,5.0,100.0
J30_24.RCP,0,54.12109537692626,0.13411808013916016,ga,98,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_24.RCP,1,53.91701374427321,0.13398098945617676,ga,98,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_24.RCP,0,54.2231361932528,0.1103510856628418,sa,98,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_24.RCP,1,55.30476884631402,0.10998010635375977,sa,98,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_24.RCP,0,58.12109537692626,0.10163092613220215,ils,98,1000,0,,,,60.0,,,,5.0,100.0
J30_24.RCP,1,57.753748438150765,0.1018679141998291,ils,98,1000,1,,,,60.0,,,,5.0,100.0
J30_25.RCP,0,85.11814744801514,0.1330420970916748,ga,46,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_25.RCP,1,86.98771266540643,0.13364696502685547,ga,46,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_25.RCP,0,95.11814744801514,0.11004114151000977,sa,46,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_25.RCP,1,92.37901701323253,0.1098790168762207,sa,46,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_25.RCP,0,88.59640831758034,0.10167384147644043,ils,46,1000,0,,,,60.0,,,,5.0,100.0
J30_25.RCP,1,80.46597353497165,0.10100626945495605,ils,46,1000,1,,,,60.0,,,,5.0,100.0
J30_26.RCP,0,49.82840868636525,0.13322210311889648,ga,53,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_26.RCP,1,51.26237095051621,0.1442410945892334,ga,53,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_26.RCP,0,52.50765396938412,0.11004519462585449,sa,53,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_26.RCP,1,53.488786044855814,0.1096639633178711,sa,53,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_26.RCP,0,48.50765396938413,0.10057878494262695,ils,53,1000,0,,,,60.0,,,,5.0,100.0
J30_26.RCP,1,55.375578497686,0.10123395919799805,ils,53,1000,1,,,,60.0,,,,5.0,100.0
J30_27.RCP,0,67.09505208333333,0.1332540512084961,ga,48,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_27.RCP,1,70.47005208333334,0.13289999961853027,ga,48,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_27.RCP,0,71.30338541666667,0.11005496978759766,sa,48,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_27.RCP,1,77.88671875000001,0.10841917991638184,sa,48,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_27.RCP,0,73.88671875,0.10026407241821289,ils,48,1000,0,,,,60.0,,,,5.0,100.0
J30_27.RCP,1,88.09505208333333,0.10112500190734863,ils,48,1000,1,,,,60.0,,,,5.0,100.0
J30_28.RCP,0,50.40637860082305,0.1328580379486084,ga,54,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_28.RCP,1,46.480452674897116,0.13249516487121582,ga,54,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_28.RCP,0,53.85082304526749,0.11200499534606934,sa,54,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_28.RCP,1,53.36934156378601,0.11533188819885254,sa,54,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_28.RCP,0,51.36934156378601,0.10537600517272949,ils,54,1000,0,,,,60.0,,,,5.0,100.0
J30_28.RCP,1,46.998971193415635,0.10764193534851074,ils,54,1000,1,,,,60.0,,,,5.0,100.0
J30_29.RCP,0,88.78166666666668,0.13318324089050293,ga,60,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_29.RCP,1,81.515,0.13244414329528809,ga,60,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_29.RCP,0,90.68166666666667,0.10980916023254395,sa,60,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_29.RCP,1,90.51500000000001,0.10940003395080566,sa,60,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_29.RCP,0,89.84833333333333,0.10098814964294434,ils,60,1000,0,,,,60.0,,,,5.0,100.0
J30_29.RCP,1,81.94833333333332,0.10081315040588379,ils,60,1000,1,,,,60.0,,,,5.0,100.0
J30_30.RCP,0,64.69744536780547,0.1333320140838623,ga,57,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_30.RCP,1,61.11849799938441,0.13337492942810059,ga,57,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_30.RCP,0,67.67990150815635,0.10933113098144531,sa,57,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_30.RCP,1,69.92551554324406,0.10881876945495605,sa,57,1000,1,,,,60.0,10000.0,0.995,10.0,,
J30_30.RCP,0,73.15358571868268,0.10063791275024414,ils,57,1000,0,,,,60.0,,,,5.0,100.0
J30_30.RCP,1,71.08341028008617,0.10073399543762207,ils,57,1000,1,,,,60.0,,,,5.0,100.0
J30_31.RCP,0,66.48396501457725,0.13286399841308594,ga,49,1000,0,50.0,0.9,0.1,60.0,,,,,
J30_31.RCP,1,70.23906705539358,0.13307809829711914,ga,49,1000,1,50.0,0.9,0.1,60.0,,,,,
J30_31.RCP,0,70.81049562682215,0.10886383056640625,sa,49,1000,0,,,,60.0,10000.0,0.995,10.0,,
J30_31.RCP,1,69.50437317784255,0.12309503555297852,sa,49,1000,1,,,,60.0,10000.0,0.995,10.0,,
