instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_tabu_tenure,param_neighborhood_size,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_9.RCP,1,81.1547619047619,0.2280890941619873,TS_static,42,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_9.RCP,0,86.25,0.37661218643188477,BA_none,42,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,6.278421593076142
J30_9.RCP,1,85.82142857142857,0.3789680004119873,BA_none,42,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,5.750330057209923
J30_9.RCP,0,84.25,0.39107584953308105,HS_fixed_random,42,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,3.8139944257004634
J30_9.RCP,1,84.53571428571429,0.3897981643676758,HS_fixed_random,42,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,4.166055449611282
J30_10.RCP,0,74.59751643535428,0.29487180709838867,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.090520648620922
J30_10.RCP,1,77.5164353542732,0.29578661918640137,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,13.359112953190753
J30_10.RCP,0,68.38130021913807,0.22120213508605957,TS_static,37,1000,0,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,0.0
J30_10.RCP,1,71.73265157048941,0.22264599800109863,TS_static,37,1000,1,,60.0,100.0,,,,,,,,,,,,,,,10.0,20.0,True,static,1.0,4.0,10.0,,,,,,,,,,,,,,,,,,4.900976349691268
J30_10.RCP,0,72.9218407596786,0.3766460418701172,BA_none,37,1000,0,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,6.640032473775278
J30_10.RCP,1,71.40832724616507,0.3765528202056885,BA_none,37,1000,1,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,4.426688315850158
J30_10.RCP,0,72.54346238130023,0.3918631076812744,HS_fixed_random,37,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,6.086696434294014
J30_10.RCP,1,74.32724616508399,0.3899989128112793,HS_fixed_random,37,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,8.695280620419988
