instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_crossover_rate,param_mutation_rate,param_selection_strategy,param_tournament_size,param_use_repair,param_elitism,param_alpha,param_feasible_lower_rate,param_feasible_upper_rate,param_local_search_interval,param_neighborhood_size,param_initial_temperature,param_cooling_rate,param_iterations_per_temperature,param_perturbation_strength,param_tabu_tenure,param_aspiration_criterion,param_tabu_strategy,param_min_factor,param_max_factor,param_noimprove_threshold,param_elite_size,param_path_strategy,param_local_search_eval_limit,param_G0
J30_1.RCP,0,72.72368421052632,0.14843297004699707,DE_rand/2_fixedF_exp_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,81.82894736842107,0.14767003059387207,DE_rand/2_fixedF_exp_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,exp,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,74.9342105263158,0.1437230110168457,DE_rand/2_fixedF_exp_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,80.82894736842105,0.1423048973083496,DE_rand/2_fixedF_exp_fixedCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/2,exp,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,78.03947368421053,0.14664983749389648,DE_best/1_adaptiveF_bin_adaptiveCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,True,best/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,81.77631578947368,0.14708209037780762,DE_best/1_adaptiveF_bin_adaptiveCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,True,best/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,70.51315789473684,0.15080809593200684,DE_best/1_adaptiveF_bin_adaptiveCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,True,best/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,75.46052631578948,0.14359092712402344,DE_best/1_adaptiveF_bin_adaptiveCR_noLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,True,best/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,71.03947368421052,0.14099907875061035,DE_best/1_adaptiveF_bin_fixedCR_withLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,False,best/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,1,66.98684210526316,0.13925480842590332,DE_best/1_adaptiveF_bin_fixedCR_withLS,38,1000,1,50.0,60.0,100.0,0.1,0.9,True,False,best/1,bin,random,True,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
J30_1.RCP,0,67.72368421052632,0.14265823364257812,DE_best/1_adaptiveF_bin_fixedCR_noLS,38,1000,0,50.0,60.0,100.0,0.1,0.9,True,False,best/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
