instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_time_limit,param_max_iterations,param_elite_size,param_path_strategy,param_selection_strategy,param_use_local_search,param_local_search_eval_limit
J60_2.RCP,0,170.63715976331363,0.2409498691558838,PR_backward_best_withLS,65,1000,0,60.0,100,10,backward,best,True,50
J60_2.RCP,1,160.60639053254437,0.2423851490020752,PR_backward_best_withLS,65,1000,1,60.0,100,10,backward,best,True,50
J60_2.RCP,0,154.20639053254436,0.11026930809020996,PR_backward_best_noLS,65,1000,0,60.0,100,10,backward,best,False,50
J60_2.RCP,1,162.1140828402367,0.08285999298095703,PR_backward_best_noLS,65,1000,1,60.0,100,10,backward,best,False,50
J60_2.RCP,0,130.29869822485207,0.24296283721923828,PR_backward_random_two_withLS,65,1000,0,60.0,100,10,backward,random_two,True,50
J60_2.RCP,1,160.36023668639055,0.24297118186950684,PR_backward_random_two_withLS,65,1000,1,60.0,100,10,backward,random_two,True,50
J60_2.RCP,0,139.71408284023667,0.051610708236694336,PR_backward_random_two_noLS,65,1000,0,60.0,100,10,backward,random_two,False,50
J60_2.RCP,1,154.7910059171598,0.053143978118896484,PR_backward_random_two_noLS,65,1000,1,60.0,100,10,backward,random_two,False,50
J60_3.RCP,0,255.51347738917357,0.24933695793151855,PR_forward_best_withLS,67,1000,0,60.0,100,10,forward,best,True,50
J60_3.RCP,1,232.46870126977055,0.24300098419189453,PR_forward_best_withLS,67,1000,1,60.0,100,10,forward,best,True,50
J60_3.RCP,0,188.43885052350188,0.09406018257141113,PR_forward_best_noLS,67,1000,0,60.0,100,10,forward,best,False,50
J60_3.RCP,1,159.2746714190243,0.07816290855407715,PR_forward_best_noLS,67,1000,1,60.0,100,10,forward,best,False,50
J60_3.RCP,0,180.170193807084,0.24153375625610352,PR_forward_random_two_withLS,67,1000,0,60.0,100,10,forward,random_two,True,50
J60_3.RCP,1,167.125417687681,0.2485640048980713,PR_forward_random_two_withLS,67,1000,1,60.0,100,10,forward,random_two,True,50
J60_3.RCP,0,163.15526843394966,0.05202221870422363,PR_forward_random_two_noLS,67,1000,0,60.0,100,10,forward,random_two,False,50
J60_3.RCP,1,158.080641568278,0.053080081939697266,PR_forward_random_two_noLS,67,1000,1,60.0,100,10,forward,random_two,False,50
J60_3.RCP,0,230.05079082200936,0.25295424461364746,PR_backward_best_withLS,67,1000,0,60.0,100,10,backward,best,True,50
J60_3.RCP,1,202.40899977723322,0.2435920238494873,PR_backward_best_withLS,67,1000,1,60.0,100,10,backward,best,True,50
J60_3.RCP,0,167.6030296279795,0.10799479484558105,PR_backward_best_noLS,67,1000,0,60.0,100,10,backward,best,False,50
J60_3.RCP,1,158.58810425484518,0.10915780067443848,PR_backward_best_noLS,67,1000,1,60.0,100,10,backward,best,False,50
J60_3.RCP,0,191.24482067275562,0.2518599033355713,PR_backward_random_two_withLS,67,1000,0,60.0,100,10,backward,random_two,True,50
J60_3.RCP,1,178.43885052350188,0.24224591255187988,PR_backward_random_two_withLS,67,1000,1,60.0,100,10,backward,random_two,True,50
J60_3.RCP,0,172.79705947872577,0.05095481872558594,PR_backward_random_two_noLS,67,1000,0,60.0,100,10,backward,random_two,False,50
J60_3.RCP,1,156.25974604588995,0.05034995079040527,PR_backward_random_two_noLS,67,1000,1,60.0,100,10,backward,random_two,False,50
J90_1.RCP,0,286.28202272220983,0.4051780700683594,PR_forward_best_withLS,67,1000,0,60.0,100,10,forward,best,True,50
J90_1.RCP,1,203.32679884161283,0.3555009365081787,PR_forward_best_withLS,67,1000,1,60.0,100,10,forward,best,True,50
J90_1.RCP,0,233.44620182668743,0.11269998550415039,PR_forward_best_noLS,67,1000,0,60.0,100,10,forward,best,False,50
J90_1.RCP,1,170.8491869013143,0.15718698501586914,PR_forward_best_noLS,67,1000,1,60.0,100,10,forward,best,False,50
J90_1.RCP,0,230.10291824459787,0.3501009941101074,PR_forward_random_two_withLS,67,1000,0,60.0,100,10,forward,random_two,True,50
