instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_w,param_c1,param_c2,param_local_search_strategy,param_restart_strategy,param_restart_threshold,param_sa_initial_temp,param_sa_final_temp,param_sa_cooling_rate,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,param_initialization_strategy
J30_3.RCP,1,70.87614926987563,0.2977159023284912,HS_fixed_random,43,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,random
J30_3.RCP,0,70.3180097349919,0.2983269691467285,HS_fixed_forward,43,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_3.RCP,1,69.48080043266631,0.29140400886535645,HS_fixed_forward,43,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,forward
J30_3.RCP,0,71.38777717685234,0.30881714820861816,HS_adaptive_random,43,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_3.RCP,1,71.80638182801513,0.3116579055786133,HS_adaptive_random,43,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,random
J30_3.RCP,0,70.03893996755004,0.312819242477417,HS_adaptive_forward,43,1000,0,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_3.RCP,1,71.43428880475935,0.30683016777038574,HS_adaptive_forward,43,1000,1,,60.0,,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,adaptive,forward
J30_4.RCP,0,61.623140495867766,0.353971004486084,PSO_none_none,55,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,1,52.786776859504144,0.3522071838378906,PSO_none_none,55,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,none,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,0,61.623140495867766,0.3548269271850586,PSO_none_adaptive,55,1000,0,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
J30_4.RCP,1,52.786776859504144,0.35518312454223633,PSO_none_adaptive,55,1000,1,50.0,60.0,0.729,1.49445,1.49445,none,adaptive,30.0,80.0,0.01,0.9,,,,,,,,,,,,,,,,,
