instance_id,seed,best_objective,runtime,algorithm_name,deadline,param_max_evaluations,param_seed,param_population_size,param_time_limit,param_max_iterations,param_F,param_CR,param_use_adaptive_F,param_use_adaptive_CR,param_mutation_strategy,param_crossover_strategy,param_initialization_strategy,param_use_local_search,param_local_search_top,param_F_min,param_F_max,param_CR_min,param_CR_max,param_K0,param_f_min,param_f_max,param_A0,param_r0,param_alpha,param_gamma,param_local_search_strategy,param_local_search_interval,param_hm_size,param_hmcr,param_par,param_bw,param_par_min,param_par_max,param_bw_min,param_bw_max,param_parameter_strategy,rpd
J30_9.RCP,0,89.05952380952381,0.3046519756317138,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,5.7086336018086765
J30_9.RCP,1,100.91666666666669,0.3019781112670898,DE_rand/1_fixedF_bin_fixedCR_noLS,42,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,19.782393669634033
J30_9.RCP,0,86.25,0.3713448047637939,BA_none,42,1000,0,50.0,60.0,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,2.3738872403560833
J30_9.RCP,1,85.82142857142857,0.3779261112213135,BA_none,42,1000,1,50.0,60.0,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,1.865197117422634
J30_9.RCP,0,84.25,0.387624979019165,HS_fixed_random,42,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.0
J30_9.RCP,1,84.53571428571429,0.3874282836914062,HS_fixed_random,42,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,0.3391267486223048
J30_10.RCP,0,74.59751643535428,0.3007049560546875,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,0,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,4.46613064915406
J30_10.RCP,1,77.5164353542732,0.299746036529541,DE_rand/1_fixedF_bin_fixedCR_noLS,37,1000,1,50.0,60.0,100.0,0.1,0.9,False,False,rand/1,bin,random,False,5.0,0.3,1.5,0.3,1.0,1.0,,,,,,,,,,,,,,,,,,8.553775650074702
J30_10.RCP,0,72.9218407596786,0.3735778331756592,BA_none,37,1000,0,50.0,60.0,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,2.1195196301070225
J30_10.RCP,1,71.40832724616507,0.3751342296600342,BA_none,37,1000,1,50.0,60.0,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.5,0.9,0.9,none,10.0,,,,,,,,,,0.0
J30_10.RCP,0,72.54346238130023,0.3875720500946045,HS_fixed_random,37,1000,0,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,1.5896397225802816
J30_10.RCP,1,74.32724616508399,0.3912560939788818,HS_fixed_random,37,1000,1,,60.0,,,,,,,,random,,,,,,,,,,,,,,,,50.0,0.9,0.3,2.0,0.1,0.9,1.0,5.0,fixed,4.087645000920642
